timestamp,normalized_raw,rate_raw,envelope_raw,mean_raw,variance_raw,energy_raw,normalized_lms,rate_lms,envelope_lms,mean_lms,variance_lms,energy_lms
8356714.0,0.34881,16.17122,0.32394,0.05742,0.30718,0.12167,-0.19896,8.51091,0.31462,0.04923,0.14009,0.03959
8356719.0,0.34223,-1.31513,0.32577,0.06027,0.3049,0.11712,-0.22261,-4.72905,0.30542,0.04651,0.13942,0.04955
8356724.0,0.42738,17.02942,0.33593,0.06394,0.30318,0.18265,-0.09062,26.3968,0.28394,0.04514,0.13821,0.00821
8356729.0,0.52056,18.63727,0.35439,0.0685,0.30219,0.27099,0.07692,33.50778,0.26324,0.04546,0.13683,0.00592
8356734.0,0.52745,1.37763,0.3717,0.07309,0.30123,0.27821,0.14919,14.45464,0.25183,0.04649,0.13557,0.02226
8356739.0,0.47774,-9.94206,0.3823,0.07714,0.29982,0.22824,0.15193,0.54784,0.24184,0.04755,0.13432,0.02308
8356744.0,0.50915,6.28234,0.39499,0.08146,0.29865,0.25924,0.28554,26.72319,0.24621,0.04993,0.13354,0.08154
8356749.0,0.55005,8.17909,0.41049,0.08615,0.29782,0.30255,0.42872,28.6353,0.26446,0.05372,0.13361,0.1838
8356754.0,0.48889,-12.23216,0.41833,0.09017,0.29643,0.23901,0.43413,1.08126,0.28143,0.05752,0.13369,0.18847
8356759.0,0.20572,-56.63358,0.39707,0.09133,0.2936,0.04232,0.32464,-21.89799,0.28575,0.06019,0.13305,0.10539
8356764.0,-0.04703,-50.54995,0.36207,0.08995,0.29085,0.00221,0.23121,-18.68526,0.2803,0.0619,0.13201,0.05346
8356769.0,-0.27241,-45.07618,0.3531,0.08632,0.28923,0.07421,0.14407,-17.42746,0.26667,0.06272,0.13075,0.02076
8356774.0,-0.46568,-38.65446,0.36436,0.0808,0.28932,0.21686,0.01741,-25.33277,0.24175,0.06227,0.12947,0.0003
8356779.0,-0.62422,-31.70718,0.39035,0.07375,0.2913,0.38965,-0.09458,-22.39805,0.22703,0.0607,0.12841,0.00895
8356784.0,-0.74649,-24.45426,0.42596,0.06555,0.29498,0.55725,-0.17064,-15.21196,0.22139,0.05839,0.12765,0.02912
8356789.0,-0.84024,-18.74957,0.46739,0.05649,0.30007,0.706,-0.23057,-11.98578,0.22231,0.0555,0.1272,0.05316
8356794.0,-0.91319,-14.58983,0.51197,0.04679,0.30629,0.83391,-0.26553,-6.99307,0.22663,0.05229,0.12693,0.07051
8356799.0,-0.95606,-8.57427,0.55638,0.03677,0.31308,0.91405,-0.27757,-2.40694,0.23173,0.04899,0.12673,0.07704
8356804.0,-0.67451,56.31047,0.56819,0.02965,0.31491,0.45496,-0.36571,-17.62846,0.24512,0.04484,0.12715,0.13374
8356809.0,-0.42275,50.35049,0.55365,0.02513,0.31377,0.17872,-0.43221,-13.29948,0.26383,0.04007,0.12811,0.1868
8356814.0,-0.19782,44.98719,0.51806,0.0229,0.31112,0.03913,-0.43148,0.14555,0.2806,0.03536,0.12901,0.18618
8356819.0,-0.03342,32.8795,0.4696,0.02234,0.30804,0.00112,-0.38824,8.64873,0.29136,0.03112,0.12947,0.15073
8356824.0,0.14531,35.74549,0.43717,0.02357,0.3051,0.02111,-0.25873,25.90157,0.2881,0.02822,0.129,0.06694
8356829.0,0.29665,30.26906,0.42312,0.0263,0.30278,0.088,-0.11302,29.14106,0.27059,0.02681,0.12791,0.01277
8356834.0,0.41273,23.21503,0.42208,0.03016,0.30122,0.17034,0.02955,28.51517,0.24649,0.02684,0.12663,0.00087
8356839.0,0.49604,16.66185,0.42947,0.03482,0.30033,0.24605,0.14961,24.01166,0.2368,0.02807,0.12551,0.02238
8356844.0,0.55837,12.46564,0.44236,0.04006,0.30002,0.31177,0.27642,25.36106,0.24076,0.03055,0.12486,0.07641
8356849.0,0.59795,7.9163,0.45792,0.04563,0.30007,0.35754,0.38095,20.90635,0.25478,0.03405,0.12482,0.14512
8356854.0,0.62117,4.64396,0.47425,0.05139,0.30031,0.38585,0.47923,19.65609,0.27722,0.0385,0.12551,0.22966
8356859.0,0.62977,1.71986,0.4898,0.05717,0.30059,0.3966,0.57456,19.06739,0.30696,0.04386,0.12707,0.33012
8356864.0,0.62531,-0.89089,0.50335,0.06286,0.30075,0.39101,0.65,15.08719,0.34126,0.04993,0.1294,0.4225
8356869.0,0.61438,-2.18564,0.51445,0.06837,0.30072,0.37747,0.72838,15.67651,0.37997,0.05671,0.13262,0.53054
8356874.0,0.39992,-42.89267,0.503,0.07169,0.29879,0.15994,0.51741,-42.19495,0.39372,0.06132,0.13337,0.26771
8356879.0,0.12426,-55.13211,0.46513,0.07221,0.29583,0.01544,0.42057,-19.36697,0.3964,0.06491,0.1333,0.17688
8356884.0,-0.12172,-49.19538,0.43078,0.07027,0.29324,0.01482,0.33682,-16.75132,0.39044,0.06763,0.1327,0.11345
8356889.0,-0.34099,-43.85392,0.42181,0.06616,0.29196,0.11627,0.23539,-20.28621,0.37494,0.06931,0.13164,0.05541
8356894.0,-0.53065,-37.93201,0.43269,0.06019,0.29254,0.28159,0.10839,-25.39848,0.34828,0.0697,0.13034,0.01175
8356899.0,-0.6642,-26.70981,0.45584,0.05295,0.29475,0.44116,0.01861,-17.95728,0.31532,0.06919,0.12906,0.00035
8356904.0,-0.41509,49.82141,0.45177,0.04827,0.29395,0.1723,-0.11572,-26.86498,0.29536,0.06734,0.12811,0.01339
8356909.0,-0.19252,44.51385,0.42584,0.04586,0.29158,0.03706,-0.22214,-21.28486,0.28804,0.06444,0.12765,0.04935
8356914.0,0.00457,39.41835,0.38371,0.04545,0.28868,2e-05,-0.2528,-6.13219,0.28451,0.06127,0.12736,0.06391
8356919.0,-0.12224,-25.36153,0.35757,0.04377,0.28607,0.01494,-0.6007,-69.58037,0.31613,0.05465,0.13038,0.36085
8356924.0,-0.01846,20.75469,0.32366,0.04315,0.28325,0.00034,-0.55338,9.46405,0.33986,0.04857,0.1327,0.30623
8356929.0,0.16174,36.03968,0.30746,0.04433,0.28055,0.02616,-0.39449,31.77945,0.34532,0.04414,0.1333,0.15562
8356934.0,0.20501,8.65413,0.29722,0.04594,0.278,0.04203,-0.44075,-9.25338,0.35486,0.03929,0.13427,0.19426
8356939.0,0.15048,-10.90438,0.28254,0.04699,0.27533,0.02265,-0.56392,-24.63238,0.37577,0.03326,0.13649,0.318
8356944.0,0.25239,20.38018,0.27953,0.04904,0.27299,0.0637,-0.41643,29.49811,0.37983,0.02876,0.13711,0.17341
8356949.0,0.37911,25.34573,0.28949,0.05234,0.27133,0.14373,-0.21535,40.21511,0.36339,0.02632,0.13632,0.04638
8356954.0,0.40153,4.48344,0.30069,0.05583,0.26981,0.16123,-0.13448,16.1731,0.3405,0.02471,0.13521,0.01809
8356959.0,0.12457,-55.39268,0.28308,0.05652,0.26716,0.01552,-0.17729,-8.56038,0.32417,0.02269,0.13426,0.03143
8356964.0,-0.12257,-49.42785,0.26703,0.05473,0.2648,0.01502,-0.21138,-6.81773,0.31289,0.02035,0.13345,0.04468
8356969.0,-0.34288,-44.06109,0.27461,0.05075,0.2637,0.11756,-0.24399,-6.52385,0.306,0.01771,0.1328,0.05953
8356974.0,-0.5302,-37.46437,0.30017,0.04494,0.26437,0.28111,-0.31599,-14.39906,0.307,0.01437,0.13257,0.09985
8356979.0,-0.6831,-30.57938,0.33846,0.03766,0.26692,0.46662,-0.38823,-14.44847,0.31513,0.01035,0.13283,0.15072
8356984.0,-0.80272,-23.92559,0.38489,0.02926,0.27118,0.64437,-0.43129,-8.61074,0.32674,0.00593,0.13341,0.18601
8356989.0,-0.89055,-17.56439,0.43546,0.02006,0.27676,0.79307,-0.45866,-5.47438,0.33993,0.00128,0.1342,0.21037
8356994.0,-0.95957,-13.80554,0.48787,0.01026,0.28339,0.92078,-0.46593,-1.45403,0.35253,-0.00339,0.13499,0.21709
8356999.0,-1.0,-8.08536,0.53908,0.00016,0.29056,1.0,-0.44753,3.67939,0.36203,-0.00783,0.13558,0.20028
8357004.0,-1.0,0.0,0.58517,-0.00984,0.29746,1.0,-0.43078,3.34964,0.36891,-0.01206,0.13597,0.18557
8357009.0,-1.0,0.0,0.62666,-0.01974,0.3041,1.0,-0.39555,7.04616,0.37157,-0.01589,0.13606,0.15646
8357014.0,-1.0,0.0,0.66399,-0.02954,0.31047,1.0,-0.35524,8.06316,0.36994,-0.01929,0.13582,0.12619
8357019.0,-0.76279,47.44297,0.67387,-0.03688,0.31264,0.58184,0.02781,76.60825,0.33573,-0.01882,0.13449,0.00077
8357024.0,-0.50065,52.4269,0.65655,-0.04151,0.31162,0.25065,-0.08198,-21.9577,0.31035,-0.01945,0.13318,0.00672
8357029.0,-0.26638,46.85386,0.61753,-0.04376,0.309,0.07096,-0.16876,-17.35526,0.29619,-0.02094,0.13207,0.02848
8357034.0,-0.05719,41.83897,0.5615,-0.0439,0.30591,0.00327,-0.20658,-7.56492,0.28723,-0.0228,0.13109,0.04268
8357039.0,0.12945,37.32666,0.51829,-0.04216,0.30315,0.01676,-0.20023,1.27109,0.27853,-0.02457,0.13008,0.04009
8357044.0,0.28339,30.78906,0.4948,-0.03891,0.30115,0.08031,-0.12932,14.18131,0.26361,-0.02562,0.12889,0.01672
8357049.0,0.40145,23.61089,0.48547,-0.0345,0.30004,0.16116,-0.04505,16.85479,0.24175,-0.02581,0.1276,0.00203
8357054.0,0.48892,17.49454,0.48581,-0.02927,0.29973,0.23904,0.03782,16.57325,0.22136,-0.02518,0.12637,0.00143
